"FEDR_id","CASE_id","URL sprawy","TERYT","Nazwa","Typ","Województwo","Powiat","Liczba umów >= 10000","Liczba umów < 10000","Suma brutto umów >= 10000","Suma brutto < 10000"
293,81359,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-105","1403073","MACIEJOWICE","gmina","mazowieckie","garwoliński",,,,
295,81527,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-273","0207042","MARCISZÓW","gmina","dolnośląskie","kamiennogórski",30,61,"5234782,49","169888,69"
297,81533,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-279","2604092","MASŁÓW","gmina","świętokrzyskie","kielecki",110,66,"22875809,03","295469,28"
298,81536,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-282","0620062","MIĄCZYN","gmina","lubelskie","zamojski",14,29,"340242,4","139748,52"
307,81546,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-292","0212043","MIRSK","gmina","dolnośląskie","lwówecki",,,,
309,81548,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-294","2604123","MORAWICA","gmina","świętokrzyskie","kielecki",137,302,"8395570,61","1131375,53"
310,81552,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-298","1207092","MSZANA DOLNA","gmina","małopolskie","Limanowski",,,,
319,81560,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-306","1820043","NOWA DĘBA","gmina","podkarpackie","tarnobrzeski",,,,
321,81568,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-314","1821042","OLSZANICA","gmina","podkarpackie","leski",,,,
331,81583,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-329","2410042","PAWŁOWICE","gmina","śląskie","pszczyński",55,14,"2292409,81",75385
336,81593,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-339","0206082","PODGÓRZYN","gmina","dolnośląskie","karkonoski",52,12,"12830308,08","80021,46"
338,81601,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-347","3212042","PRZELEWICE","gmina","zachodniopomorskie","pyrzycki",55,211,"3210727,3","522386,44"
340,81606,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-352","3030043","PYZDRY","gmina","wielkopolskie","wrzesiński",,,,
362,81802,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-548","2204072","SUCHY DĄB","gmina","pomorskie","gdański",29,27,2056807,"100829,77"
378,81814,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-560","2413082","TWORÓG","gmina","śląskie","tarnogórski",35,275,"4280741,1",689686
381,81577,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-323","1020062","OZORKÓW","gmina","łódzkie","zgierski",110,764,"23485840,09","1438683,62"
384,81857,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-603","0419063","ŻNIN","gmina","kujawsko-pomorskie","żniński",164,362,"25881810,19","1129035,05"
392,81836,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-582","0603132","WOJSŁAWICE","gmina","lubelskie","chełmski",32,37,"27016434,59","57110,94"
397,81847,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-593","1213093","ZATOR","gmina","małopolskie","oświęcimski",,,,
398,81316,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-62","2213132","ZBLEWO","gmina","pomorskie","starogardzki",26,161,"1031676,16","324201,12"
403,81353,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-99","1417052","KOŁBIEL","gmina","mazowieckie","otwocki",62,27,,
430,81854,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-600","0811102","ŻARY","gmina","lubuskie","żarski",116,60,"31912210,27","362471,55"
444,81454,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-200","0416022","GOSTYCYN","gmina","kujawsko-pomorskie","tucholski",,,,
453,81456,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-202","3009052","GRZEGORZEW","gmina","wielkopolskie","kolski",57,65,"31727045,1","205034,5"
472,81615,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-361","2212082","REDZIKOWO (dawn. SŁUPSK)","gmina","pomorskie","słupski",81,2254,"3531876,58","3285878,8"
477,81544,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-290","0213033","MILICZ","gmina","dolnośląskie","milicki",,,,
481,81571,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-317","3015053","OPALENICA","gmina","wielkopolskie","nowotomyski",136,1185,"7688443,82","2475670,65"
499,81504,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-250","2208011","LĘBORK","gmina","pomorskie","lęborski",117,172,"5385985,86",710874
504,81314,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-60","2405082","WIELOWIEŚ","gmina","śląskie","gliwicki",,,,
505,81832,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-578","0619011","WŁODAWA","gmina","lubelskie","włodawski",117,85,"502988,19","49048571,85"
