"Identyfikator instytucji na Fedrowaniu (FEDR_id)","Nazwa instytucji na Fedrowaniu (FEDR_name)","Nazwa systemu","Funkcja systemu","Uwagi dodatkowe"
"776","Siemianowice Śląskie","Stable Diffusion","do tworzenia grafiki",
"776","Siemianowice Śląskie","Milestone XProtect Incident Manager","do analizy nagrań monitoringu miejskiego",
"776","Siemianowice Śląskie","Milestone XProtect Rapid REVIEW","do analizy nagrań monitoringu miejskiego",
"776","Siemianowice Śląskie","XProtect License Plate Recognition","do analizy nagrań monitoringu miejskiego",
"776","Siemianowice Śląskie","ABBYY Fine Reader","do rozpoznawania tekstu",
"776","Siemianowice Śląskie","ABC Anon","do anonimizacji tekstu",
"789","Rybnik","ESET PROTECT Elite","W ramach działania tego systemu, w konsoli zarządzającej generowane są incydenty z wykorzystaniem sztucznej inteligencji. System ten pełni funkcję narzędzia przewidującego ryzyka i zachowania w zakresie bezpieczeństwa informatycznego.",
"799","SĘDZIEJOWICE","enapisy.pl","do rozpoznawania tekstu z filmów sesji Rady Gminy",
"857","BIAŁOGARD",,"do generowania automatycznego streszczenia tekstowego z obrad rady, dostarczonego przez firmę obsługującą transmisje","Streszczenie to wymaga manualnego udostępnienia i jest edytowalne przed i po publikacji."
"860","DĘBNO","OCR FineReader14","system rozpoznawania tekstu",
"860","DĘBNO","Posiedzenia.pl","do transkrypcji posiedzeń Rady Gminy",
"865","KOŚCIAN","POSIEDZENIA.PL","system transmisji danych, system obsługi głosowań (system automatycznie przekształca mowę na tekst i nakłada napisy na filmy)",
"914","KSAWERÓW","posiedzenia.pl","Korzystanie z audiodeskrypcji w transmisji posiedzeń",
"920","ŁĘCZYCE","eNapisy","Generuje on automatycznie transkrypcję nagrań z obrad sesji Rady Gminy Łęczyce i umożliwia ręczną poprawę utworzonego tekstu",
"920","ŁĘCZYCE","ABBYY FineReader","do rozpoznawania obrazów dokumentów i tworzenia warstwy tekstowej na zeskanowanych dokumentach PDF (OCR)",
"933","MALCZYCE",,"W organie wykorzystywane są narzędzia do rozpoznawania tekstu, mowy, obrazów, filmów",
"970","PYRZYCE","eNapisy.pl","automatyczna transkrypcja z materiału audiowizualnego",
"983","SOBKÓW","Safetica","system DLP",
"1001","TRZEMESZNO","transmisjaobrad.info","transkrypcja nagrań sesji Rady Miejskiej",
"1035","Suwałki","Subtitle Edytor z rozpoznawaniem mowy Whisper","transkrypcja filmów z sesji rady miejskiej",
"1046","WĄBRZEŹNO","eAUDITOR","do inwentaryzacji, monitorowania oraz zapewnienia bezpieczeństwa IT. Model wbudowany w system wykorzystywany jest w celu kategoryzowania stron internetowych oraz ustalenia kategorii plików wykonywalnych (.exe)","wykorzystuje modele uczenia maszynowego"
"1080","MIŁKI","YouTube","automatyczne generowanie napisów do nagrań z sesji Rady Gminy",
"1099","BOLESŁAWIEC","Infosystem Księgowość budżetowa, Infosystem Płace, Infosystem Podatki, Arisco Gomig, Infosystem Księgowość zobowiązań","w celu generowania raportów","organ wskazał, że używa systemów informatycznych, w których są przetwarzane dane liczbowe (operacje arytmetyczne)"
"1100","BORNE SULINOWO","beey.io","do rozpoznawania mowy, wykorzystywany głównie do transkrypcji nagrań sesji Rady Miejskiej",
"1102","BROCHÓW",,,"ze względu na dane wrażliwe dotyczące polityki bezpieczeństwa Urząd Gminy w Brochowie odmówił podania szczegółów"
"1118","CIEPŁOWODY","Posiedzenia.pl","do transkrypcji napisów, które są tworzone na podstawie strumienia wideo",
"1164","JASŁO",,"automatycznie przetwarzający dźwięk na tekst – do transkrypcji posiedzeń Rady Gminy","system udostępniony przez firmę Data Security Software Solutions Sp. z o.o. Sp. k. z siedzibą w Pniewach"
"1172","OSTRÓDA",,"Przetwarzania nagrań audiowizualnych posiedzeń Rady Gminy w zakresie wstępnego dodawania transkrypcji tekstowej","wygenerowany tekst podlega ręcznemu sprawdzaniu, edytowaniu i poprawianiu"
"1172","OSTRÓDA","ChatGPT"," Wspomagania w zakresie pozyskiwania informacji i poprawiania tworzonych tekstów",
"1206","JANÓW PODLASKI","ChatGPT",,
"1210","JAWORZE","Sesje.LIVE","do generowania napisów na podstawie rozpoznanej mowy",
"1210","JAWORZE","Deputy Premier","cyfrowy system nagłaśniania i rejestracji obrad ze wspomaganiem głosowania, umożliwiający sporządzanie list obecności i tworzenie raportów z głosowań jawnych poprzez identyfikację uczestników za pomocą kart chipowych",
"1216","KAMIENIEC",,"do rozpoznawania mowy, zaimplementowany na platformie do transmisji Sesji Rady Gminy on-line"," firmy Data Security Software Solutions Sp. z o.o."
"1217","KAZIMIERZA WIELKA","eSesja TV","generuje tekst streszczenia obrad z nagrania video w ramach oprogramowania do przeprowadzania transmisji obrad Rady Miejskiej",
"1242","KULESZE KOŚCIELNE",,"transkrypcji nagrań z posiedzeń Sesji Rady Gminy","działającego jako serwis zewnętrzny na serwerach usługodawcy"
"1246","LASKOWA","Sesja.pl","transmisji oraz retransmisji obrad Rady Gminy, w ramach którego wykorzystuje moduł do transkrypcji, który ułatwia pracownikowi dodawanie napisów do nagrań z sesji",
"1263","LYSKI","Microsoft WORD z pakietu Office 365","usługa transkrypcji, do generowania wstępnego protokołu z posiedzenia komisji, który później przechodzi ostateczną korektę przez pracownika",
"1273","MICHAŁOWICE","ChatGPT",,"w wersji Team"
"1277","MIŁAKOWO",,"automatycznej audiodeskrypcji nagrań sesji Rady Miejskiej",
"1303","OSIELSKO",,"narzędzia przewidujące ryzyka lub zachowania, EXR, XDR",
"1314","PODEGRODZIE",,"Transkrypcja nagrań z sesji Rady Gminy jest zlecana firmie zewnętrznej","Urząd Gminy nie zna narzędzi, z których korzysta firma"
"1362","ŚMIGIEL",,"system EDR automatycznie przetwarzający dane wejściowe, mający na celu przewidywanie ryzyk i zachowań w zakresie cyberbezpieczeństwa",
"1363","SOMONINO",,"narzędzie generujące treści i grafiki promocyjne",
"1363","SOMONINO",,"narzędzia przewidujące ryzyka lub zachowania",
"1363","SOMONINO",," inne narzędzia wykorzystujące modele „uczenia maszynowego” lub „sztucznej inteligencji”",
"1370","SROKOWO","EZD Edicta","Automatyczne kategoryzowanie pism, generowanie metadanych, raportowanie czasu obiegu dokumentów, wspieranie decyzji administracyjnych.",
"1370","SROKOWO","System Rejestrów Państwowych (SRP)","Automatyczna weryfikacja danych osobowych; generowanie decyzji dot. meldunku, dowodu osobistego, aktu urodzenia itp.",
"1370","SROKOWO","ERP RESPONS PODATKI","Automatyczne naliczanie podatków lokalnych (od nieruchomości, rolnych, leśnych), generowanie upomnień, raportów zaległości.",
"1370","SROKOWO","ERP RESPONS REJESTR MIESZKAŃCÓW","Automatyczne aktualizowanie danych o miejscu zamieszkania, generowanie zaświadczeń i raportów.",
"1370","SROKOWO","ERP RESPONS KADRY/PŁACE","Zautomatyzowane generowanie zaświadczeń, sprawozdań, list płac, deklaracji.",
"1370","SROKOWO","SIP GISON","Zautomatyzowane przetwarzanie danych przestrzennych (współrzędne, geometria działek, warstwy geograficzne) oraz generowanie raportów i map pomocnych przy planowaniu przestrzennym, decyzjach lokalizacyjnych, wydawaniu decyzji budowlanych, analizie uwarunkowań terenu.",
"1370","SROKOWO","Platforma ePUAP","Automatyczne przetwarzanie wniosków elektronicznych (np. zgłoszenie pobytu, wniosek o dowód), integracja z rejestrami.",
"1370","SROKOWO","Platforma eDoręczenia","Automatyczne przetwarzanie wniosków elektronicznych (np. zgłoszenie pobytu, wniosek o dowód), integracja z rejestrami.",
"1370","SROKOWO","BESTIA","Automatyczne generowanie raportów budżetowych, sprawozdań, planów finansowych, analiz wykonania budżetu.",
"1370","SROKOWO","PŁATNIK","Zautomatyzowane generowanie deklaracji i zgłoszeń do ZUS.",
"1426","WIŚNIOWA (woj. małopolskie)",,"system przetwarzający dane wejściowe (dźwięk), służący do automatycznej transkrypcji nagrań z sesji Rady Gminy","System ten obsługiwany jest przez firmę zewnętrzną: ELKOMP Jacek Kądziołka. System wykorzystywany jest wyłącznie do celów tworzenia transkrypcji nagrań audio z posiedzeń organów stanowiących, celem ich publikacji zgodnie z obowiązującymi przepisami prawa."
"1430","Białystok","system klasy RPA (Robotic Process Automation)","Biuro Zarządzania Efektywnością Energetyczną wspomaga analizę faktur za energię elektryczną, cieplną i gazową. Robot sprawdza poprawność danych (numer punktu poboru, zużycie, przekroczenia mocy umownej, wystąpienie energii biernej, okres rozliczeniowy, zmiany numerów liczników, zmiany cen jednostkowych). W przypadku nieprawidłowości system przesyła alert z informacją na adres mailowy pracownika. Dodatkowo system odpowiada za wysyłkę faktur od sprzedawców do wszystkich jednostek miejskich i departamentów urzędu, analizując je i rozsyłając na przypisane adresy e-mail.",
"1434","Toruń","chatbot","na stronie https://jo-torun.pl, który informuje mieszkańców o sposobie uzyskania karty mieszkańca",
"1434","Toruń","Microsoft o365 Copilot",,
"1466","ZAKRZEWO","ETW"," (wprowadzanie tytułów wykonawczych)","aplikacja ministerialna"
"1466","ZAKRZEWO","BESTIA","program systemowy do zarządzania budżetem JST",
"1466","ZAKRZEWO","PIGEON","dane podatkowe, zestawienia zaległości, nadpłat i tytuły wykonawcze",
"1466","ZAKRZEWO","PIGEON EPN","wymiar podatków, ewidencja podatkowa osób fizycznych i prawnych",
"1466","ZAKRZEWO","GROSZEK","system księgowości budżetowej",
"1466","ZAKRZEWO","CEEB","Centralna Ewidencja Emisyjności Budynków dotycząca źródeł ciepła i spalania paliw",
"1466","ZAKRZEWO","CEiDG","Centralna Ewidencja i Informacja o Działalności Gospodarczej - rejestr danych przedsiębiorców",
"1466","ZAKRZEWO","ŹRÓDŁO i SELWIN","programy do ewidencji ludności",
"1466","ZAKRZEWO","Generator wniosków o dofinansowanie GWD (P1) Narodowego Funduszu Ochrony Środowiska i Gospodarki Wodnej","wykorzystywany do wprowadzania wniosków o dofinansowanie w ramach PP Czyste Powietrze, umożliwia podgląd wniosku i selekcję wniosków",
"1466","ZAKRZEWO","System Wsparcia Organów Wyborczych (WOW)","umożliwia pobranie wykazu osób, które są pozbawione prawa do głosowania lub zostały ujęte w innym obwodzie głosowania",
"1466","ZAKRZEWO","eGmina","punkty adresowe, plany przestrzenne",
"1487","Warszawa","Portal Głosowy","jest telefonicznym systemem informacyjnym, wykorzystującym algorytmy i architektury sieci neuronowych, zintegrowany z technologiami automatycznego rozpoznawania mowy, syntezy mowy i zaawansowanym systemem dialogowym, który interaktywnie obsługuje osobę dzwoniącą. Zadaniem Portalu jest informowanie użytkowników infolinii Warszawa 19115 o wybranych usługach komunikacji miejskiej Zarządu Transportu Miejskiego w Warszawie, w tym m.in. o rozkładach jazdy pojazdów komunikacji miejskiej, taryfach przewozowych, ulgach biletowych, łączenie z operatorami infolinii Warszawa 19115. Portal Głosowy realizuje usługę automatycznej informacji głosowej, wchodząc w skład systemu Centrum Komunikacji z Mieszkańcami, poprzez integrację z elektronicznym rozkładem jazdy ZTM. ",
"1494","SIENNICA RÓŻANA","eNapisy.pl","automatyczny system tworzenia napisów do nagrań sesji Rady Gminy",
"1533","SKRZYSZÓW","system do transkrypcji posiedzeń Rady Gminy","Jego zadaniem jest zamiana mowy na tekst",
"1534","SZERZYNY","posiedzenia.pl","do automatycznego przetwarzania dźwięku i generowania napisów pod filmami z sesji Rady Gminy",
"1600","KŁODZKO","POSIEDZENIA.PL","dokonywanie transkrypcji sesji Rady Gminy",
"1614","HAŻLACH","posiedzenia.pl","automatycznie przetwarzają dane wejściowe w zakresie nagrań audio z posiedzeń Sesji Rady Gminy ",
"1614","HAŻLACH",,,"Ponadto Urząd wykorzystuje systemy, które automatycznie przetwarzają dane wejściowe w innych systemach, jednak charakter tych danych i systemów nie stanowi informacji publicznej."
"1653","MOSZCZENICA (woj. łódzkie)","firewall"," urządzenia firewall przez Konsorcjum Gmina Bliżej Mieszkańców, które za pomocą algorytmów AI analizują ruch sieciowy",
"1653","MOSZCZENICA (woj. łódzkie)",,,"Ponadto, Konsorcjum GBM dysponuje autorskimi rozwiązaniami wykorzystującymi techniki AI do dekretacji dokumentów w EZD PUW, jednak system ten był testowany poza procesem produkcyjnym"
"1658","NIECHANOWO","posiedzenia.pl","narzÄ™dzia transkrypcji nagraÅ„ sesji Rady Gminy na tekst",
"1662","OSINA",,"do transkrypcji, wykorzystywany do tworzenia napisów podczas sesji rady gminy",
"1692","SIEKIERCZYN",," automatyczny system do transkrypcji audio na tekst z nagrań Sesji Rady Gminy","Dostawcą systemu jest Wytwórnia Telewizyjno-Filmowa Alfa Sp. z o.o. z Szczecina."
"1750","KRASNE",,"System przetwarzający dźwięk na tekst – napisy na nagraniach z obrad sesji Rady Gminy",
"1800","CHORKÓWKA","Napisowo","do generowania napisów z nagrań dźwiękowych (wymaga uruchomienia i wskazania pliku)",
"1824","KLECZEW",,,"Na zlecenie Gminy Kleczew firma MWC Voting Solution Sp. z o.o. z siedzibą przy ul. Kowalewickiej 12, 60-002 Poznań, przygotowuje transkrypcje nagrań z posiedzeń Rady Miejskiej w Kleczewie"
"1835","IZBICA","Tensoft","do przygotowywania decyzji w zakresie podatków i opłat lokalnych",
"1842","KLONOWA","System Transkrypcji Nagrań (sesje.live)","automatyczna transkrypcja (dodawanie tekstu) do nagrań z sesji Rady Gminy ","Po dokonaniu automatycznej transkrypcji pracownik obsługujący radę gminy przegląda dodany automatycznie tekst i wprowadza niezbędne poprawki i korekty."
"1867","DRZEWICA","enapisy.pl","do automatyzacji transkrypcji sesji Rady Miejskiej oraz innych publikowanych materiałów wideo na swoich platformach",
"1896","PŁOSKINIA",,"transkrypcję dźwięku na tekst – dotyczy obsługi Rady Gminy ","Firma Nefeni Sp. z o.o. "
"1896","PŁOSKINIA","radni.info",,
"1916","SITNO","sesja.pl","w celu rozpoznawania mowy i zamiany jej na tekst (audiodeskrypcja używana głównie do filmów z sesji rady gminy)",
"1947","ZARĘBY KOŚCIELNE","Posiedzenia.pl","do rozpoznawania tekstu i mowy (analiza nagrań z kamer podczas obrad sesji Rady Gminy i generowanie automatycznych napisów)",
"1958","BIAŁOGARD",," komercyjne, zewnętrzne systemy informatyczne, wykorzystujące modele E2E działające w oparciu o zaawansowaną technologię AI, które umożliwiają automatyczne przetwarzanie danych wejściowych w formie materiału wideo, zawierającego ścieżkę dźwiękową na tekst, automatyczną transkrypcję.",
"1966","BOGUCHWAŁA","Smartcity","W ramach projektu ""Smartcity"" zainstalowano kamerę, która analizuje zachowania tłumu pod kątem wychwytywania potencjalnie niebezpiecznych zagrożeń.",
"1976","Dąbrowa Górnicza","eRECRUITER","system ATS do rekrutacji, zarządzanie procesami informatycznymi w rekrutacji, które wykorzystują sztuczną inteligencję do wspierania pracy w zakresie analizy formularzy rekrutacyjnych, cv kandydatów, pomaga w tworzeniu ogłoszeń o pracę oraz pytań rekrutacyjnych",
"1976","Dąbrowa Górnicza","Microsoft 365 Copilot","zintegrowany pakiet usług chmurowych i aplikacji biurowych (word, excel, outlook, teams) – działa na bazie sztucznej inteligencji;",
"1976","Dąbrowa Górnicza","EZD FINN 8 SQL","do elektronicznego zarządzania dokumentacją (m.in. przetwarzanie danych wejściowych, OCR, generowanie raportów)",
"2032","RADZIONKÓW","Abbyy FineReader","Oprogramowanie typu OCR służące do rozpoznawania tekstu.",
"2039","SOKOŁÓW PODLASKI","Chat GPT 4o","jednorazowo zastosowano do przeanalizowania i podsumowania odpowiedzi opisowych udzielonych w ankiecie",
