FEDR_id,CASE_id,CASE_url,Nazwa,Typ,Województwo,Powiat,Czy wydaje media,Lista mediów
254,85700,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-705,KĄKOLEWNICA,samorząd gminy,lubelskie,radzyński,FAŁSZ,"tytul,typ,prowadzacy,data_od,data_do,linki
""Strona internetowa Gminy Kąkolewnica"",""Strona internetowa"",""Urząd Gminy Kąkolewnica"",""od 2023 roku"","""",""www.kakolewnica.pl""
""Facebook Gminy Kakolewnica"",""Facebook"",""Urząd Gminy Kąkolewnica"",""od połowy 2023 roku"","""",""facebook.com/kakolewnica""
""Instagram Gminy Kąkolewnica"",""Instagram"",""Urząd Gminy Kąkolewnica"",""od września 2023 roku"","""",""instagram.com/gminakakolewnica""
""Biuletyn informacyjny Gminy Kąkolewnica"",""Biuletyn informacyjny"",""Urząd Gminy Kąkolewnica"",""wydania w grudniu 2023 i na początku 2024"","""",""""
""Strona internetowa GOK Kąkolewnica"",""Strona internetowa"",""Gminny Ośrodek Kultury w Kąkolewnicy"",""od 2024 roku"","""",""www.kakolewnica.naszgok.pl""
""Facebook GOK Kąkolewnica"",""Facebook"",""Gminny Ośrodek Kultury w Kąkolewnicy"",""od 11 marca 2013 roku"","""",""facebook.com/gok.kakolewnica""
""Facebook Gminna Biblioteka Publiczna w Kąkolewnicy"",""Facebook"",""Gminna Biblioteka Publiczna w Kąkolewnicy"",""brak danych"","""",""https://www.facebook.com/biblioteka.kakolewnica.10""
""Strona internetowa Szkoła Podstawowa w Kąkolewnicy"",""strona internetowa"",""Szkoła Podstawowa w Kąkolewnicy"",""2 lipca 2021"","""",""https://spkakolewnica.szkolna.net/""
""Facebook Szkoła Podstawowa w Kąkolewnicy"",""Facebook"",""Szkoła Podstawowa w Kąkolewnicy"",""2 lipca 2021"","""",""https://www.facebook.com/profile.php?id=100069950636353""
""Strona internetowa Szkoła Podstawowa w Polskowoli"",""strona internetowa"",""Szkoła Podstawowa w Polskowoli"",""brak danych"","""",""http://www.polskowola.szkolna.net/""
""Facebook Szkoła Podstawowa w Polskowoli"",""Facebook"",""Szkoła Podstawowa w Polskowoli"",""brak danych"","""",""https://www.facebook.com/profile.php?id=100085844418345""
""Strona internetowa Szkoła Podstawowa w Brzozowicy Dużej"",""strona internetowa"",""Szkoła Podstawowa w Brzozowicy Dużej"",""brak danych"","""",""http://brzozowicaduza.szkolna.net/""
""Facebook Szkoła Podstawowa w Brzozowicy Dużej"",""Facebook"",""Szkoła Podstawowa w Brzozowicy Dużej"",""brak danych"","""",""https://www.facebook.com/profile.php?id=100056581933157""
""Strona internetowa Szkoła Podstawowa w Turowie"",""strona internetowa"",""Szkoła Podstawowa w Turowie"",""brak danych"","""",""https://spturow.szkolna.net/""
""Strona internetowa Szkoła Podstawowa w Żakowoli Poprzecznej"",""strona internetowa"",""Szkoła Podstawowa w Żakowoli Poprzecznej"",""brak danych"","""",""https://spzakowola.szkolnastrona.pl/"""
257,85370,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-375,KAMIENIEC ZĄBKOWICKI,samorząd gminy,dolnośląskie,ząbkowicki,PRAWDA,"tytul,typ,prowadzacy,data_od,data_do,linki
""Wiadomości Kamienieckie"",""biuletyn informacyjny"",""Gmina Kamieniec Ząbkowicki"",""2020-01-27"","""",""https://kamienieczabkowicki.eu/wp-content/uploads/2025/04/KZ GAZETA.pdf"""
266,85379,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-384,KOSTOMŁOTY,samorząd gminy,dolnośląskie,średzki,PRAWDA,"""Biuletyn Gminny"",""Biuletyn informacyjny"",""Urząd Gminy Kostomłoty"",""24.01.2007"",""2025"","""""
504,87230,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2235,WIELOWIEŚ,samorząd gminy,śląskie,gliwicki,FAŁSZ,"tytul,typ,prowadzacy,data_od,data_do,linki
""Gmina Wielowieś"",""witryna internetowa"",""Urząd Gminy Wielowieś"",""2003"","""",""www.wielowies.pl""
""Gmina Wielowieś Oficjalny profil Gminy Wielowieś"",""profil w socjal mediach Facebook"",""Urząd Gminy Wielowieś"",""2021-01-01"","""",""www.facebook.com/gminawielowies"""
568,87133,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2138,KONIECPOL,samorząd gminy,śląskie,częstochowski,PRAWDA,"""Gazeta Koniecpolska Gminny"",""Biuletyn Informacyjny"",""Miejskie Przedsiębiorstwo Komunalne w Koniecpolu Sp. z o.o. ul. Zachodnia 30/40, 42-230 Koniecpol"",""01.09.2022"","""",""https://www.koniecpol.pl/p,112,gazeta-koniecpolska"""
595,87403,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2408,LELKOWO,samorząd gminy,warmińsko-mazurskie,braniewski,FAŁSZ,"""tytul"",""typ"",""prowadzacy"",""data_od"",""data_do"",""linki""
""Facebook UG w Lelkowie"",""Social media profile"",""Urząd Gminy w Lelkowie"","""","""",""https://www.facebook.com/LelkowoGmina?locale=p1 PL""
""Strona internetowa urzędu"",""Website"",""Urząd Gminy w Lelkowie"","""","""",""https://lelkowo.warmia.mazury.pl/""
""BIP UG Lelkowo"",""BIP"",""Urząd Gminy w Lelkowie"","""","""",""https://biplelkowo.warmia.mazury.pl/"""
620,86197,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1202,MAKÓW PODHALAŃSKI,samorząd gminy,małopolskie,suski,FAŁSZ,"""Biuletyn Informacyjny Gminy Maków Podhalański"",""Biuletyn informacyjny"",""Gmina Maków Podhalański"",""marzec 2003"",,""""
""Facebook"",""portal społecznościowy"",""Gmina Maków Podhalański"",""2024"",,""https://www.facebook.com/UrzadMiejskiwMakowiePodhalanskim/""
""Strona internetowa Gminy Maków Podhalański"",""strona internetowa"",""Gmina Maków Podhalański"",,"""",""https://www.makow-podhalanski.pl/"""
670,85581,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-586,NOWE,samorząd gminy,kujawsko-pomorskie,świecki,FAŁSZ,
686,86647,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1652,OLESNO (woj. opolskie),samorząd gminy,opolskie,oleski,FAŁSZ,
691,87801,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2806,WIDUCHOWA,samorząd gminy,zachodniopomorskie,gryfiński,FAŁSZ,"""Fanpage Widuchowa"",""Fanpage w mediach społecznościowych Facebook"",""Pracownicy Urzędu Gminy Widuchowa"",""2015-08-04"","""",""https://www.facebook.com/GminaWiduchowa""
""www.widuchowa.pl"",""Strona internetowa"",""Pracownicy Urzędu Gminy Widuchowa"",""2003"","""",""www.widuchowa.pl"""
729,85663,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-668,DĘBLIN,samorząd gminy,lubelskie,rycki,FAŁSZ,
753,86786,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1791,PRZECŁAW,samorząd gminy,podkarpackie,mielecki,PRAWDA,"""Biuletyn Informacyjny „Goniec Przecławski”"",""Biuletyn informacyjny"",""Gmina Przecław"",""II kwartał 2020"",""IV kwartał 2023"","""""
767,87357,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2362,BISKUPIEC,samorząd gminy,warmińsko-mazurskie,olsztyński,FAŁSZ,"tytul,typ,prowadzacy,data_od,data_do,linki
""Biuletyn Informacyjny Urzędu Miejskiego w Biskupcu"",""biuletyn informacyjny"",""Urząd Miejski w Biskupcu"","""","""",""https://biskupiec.pl/blog/biuletyn-informacyjny/""
""Kanał na YouTube: TV Biskupiec - miejska telewizja internetowa"",""telewizja"",""Urząd Miejski w Biskupcu"",""2016"","""",""https://www.youtube.com/@tvbiskupiec-miejskatelewizja""
""strona internetowa: www.biskupiec.pl"",""strona www"",""Urząd Miejski w Biskupcu"",""2000"","""",""https://biskupiec.pl/""
""profil na portalu Facebook: Biskupiec – Krajobraz Pełen Możliwości"",""media społecznościowe"",""Urząd Miejski w Biskupcu"",""2012-05-27"","""",""https://www.facebook.com/biskupieckrajobrazpelenmozliwosci/"""
800,86922,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1927,Sejny,samorząd gminy,podlaskie,sejneński,FAŁSZ,
1066,87247,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2252,ŻYWIEC,samorząd gminy,śląskie,żywiecki,FAŁSZ,
1239,86750,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1755,KRZESZÓW,samorząd gminy,podkarpackie,niżański,FAŁSZ,
1340,86663,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1668,RUDNIKI,samorząd gminy,opolskie,oleski,FAŁSZ,"""tytul"",""typ"",""prowadzacy"",""data_od"",""data_do"",""linki""
""Rudniki TV"",""Kanał na stronie YouTube"",""Gminny Ośrodek Kultury w Rudnikach"",""08.2020"","""",""https://www.youtube.com/@rudnikitv8278""
""Biuletyn Informacyjny Gminy Rudniki"",""Biuletyn informacyjny"",""Gminny Ośrodek Kultury w Rudnikach"",""1995"","""","""""
1391,85455,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-460,SZCZAWNO-ZDRÓJ,samorząd gminy,dolnośląskie,wałbrzyski,PRAWDA,"""Wiadomości ze Szczawna-Zdróju"",""gazeta"",""Urząd Miejski w Szczawnie-Zdroju"",""2015"",,"""
1450,87342,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2347,WILCZYCE,samorząd gminy,świętokrzyskie,sandomierski,,
1602,86847,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1852,BOĆKI,samorząd gminy,podlaskie,bielski,FAŁSZ,
1612,86150,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1155,GROMNIK,samorząd gminy,małopolskie,tarnowski,FAŁSZ,"tytul,typ,prowadzacy,data_od,data_do,linki
""Gmina Gromnik"",""Strona prowadzona za pośrednictwem facebooka"",""Urząd Gminy Gromnik"",""2021-03-18"","""",""https://www.facebook.com/profile.php?id=100065618764704""
""Gmina Gromnik w zdrowej atmosferze"",""Strona prowadzona za pośrednictwem facebooka"",""Urząd Gminy Gromnik"",""2020-04-07"","""",""https://www.facebook.com/profile.php?id=100067396385688""
""Gmina Gromnik"",""Strona internetowa Gminy Gromnik"",""Urząd Gminy Gromnik"","""","""",""https://www.gromnik.pl/asp/start,0"""
1863,85564,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-569,LIPNO,samorząd gminy,kujawsko-pomorskie,lipnowski,PRAWDA,"tytul,typ,prowadzacy,data_od,data_do,linki
""Kwartalnik Gminy Lipno"",""biuletyn informacyjny"",""Gmina Lipno"",""2017"",,""https://uglipno.pl/"""
1884,87302,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2307,OPATOWIEC,samorząd gminy,świętokrzyskie,kazimierski,,
2021,87600,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2605,OSTRÓW WIELKOPOLSKI,samorząd gminy,wielkopolskie,ostrowski,PRAWDA,"""Ostrów. Informator Miejski"",""gazeta"",""Ostrowskie Centrum Kultury (od maja 2021 roku)"",""od lutego 2016 roku"","""",""https://umostrow.pl/ostrow-informator-miejski.html, https://issuu.com/search?q=ostr%C3%B3w%20informator%20miejski"""
2031,86049,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1054,RADOMSKO,samorząd gminy,łódzkie,radomszczański,FAŁSZ,"tytul,typ,prowadzacy,data_od,data_do,linki
""Nasze Radomsko. Informacje"",""Biuletyn informacyjny"",""Wydział Informacji i Promocji Urzędu Miasta Radomska"",""2021-02"","""",""""
""radomsko.pl"",""Strona internetowa"",""Wydział Informacji i Promocji Urzędu Miasta Radomska"",""2001"","""",""https://www.radomsko.pl/""
""Facebook profile - Radomsko Otwarte Miasto"",""Media społecznościowe"",""Wydział Informacji i Promocji Urzędu Miasta Radomska"",""2016"","""",""https://www.facebook.com/RadomskoOtwarteMiasto""
""Instagram profile - radomsko_miasto_otwarte"",""Media społecznościowe"",""Wydział Informacji i Promocji Urzędu Miasta Radomska"",""2018"","""",""https://www.instagram.com/radomsko_miasto_otwarte/""
""TikTok profile - radomskomiastootwarte"",""Media społecznościowe"",""Wydział Informacji i Promocji Urzędu Miasta Radomska"",""2023"","""",""https://www.tiktok.com/@radomskomiastootwarte""
""Biuletyn Muzeum Regionalnego im. S. Sankowskiego w Radomsku"",""Biuletyn"",""Muzeum Regionalne im. S. Sankowskiego w Radomsku"",""2019"","""",""""
""muzeum.radomsko.pl"",""Strona internetowa"",""Muzeum Regionalne im. S. Sankowskiego w Radomsku"",""2003"","""",""https://muzeum.radomsko.pl/""
""Facebook profile - Muzeum Regionalne Radomsko"",""Media społecznościowe"",""Muzeum Regionalne im. S. Sankowskiego w Radomsku"",""2013"","""",""https://www.facebook.com/MuzeumRegionalneRadomsko""
""mbp-radomsko.pl"",""Strona internetowa"",""Miejska Biblioteka Publiczna w Radomsku"",""2007"","""",""http://mbp-radomsko.pl/""
""Facebook profile - mbprad"",""Media społecznościowe"",""Miejska Biblioteka Publiczna w Radomsku"",""2015"","""",""https://www.facebook.com/mbprad""
""Instagram profile - mbprad"",""Media społecznościowe"",""Miejska Biblioteka Publiczna w Radomsku"",""2020"","""",""https://www.instagram.com/mbprad/""
""mosir-radomsko.pl"",""Strona internetowa"",""Miejski Ośrodek Sportu i Rekreacji w Radomsku"",""2021"","""",""https://mosir-radomsko.pl/""
""Facebook profile - MosirRadomsko"",""Media społecznościowe"",""Miejski Ośrodek Sportu i Rekreacji w Radomsku"",""2013"","""",""https://www.facebook.com/MosirRadomsko""
""Instagram profile - aquara_radomsko"",""Media społecznościowe"",""Miejski Ośrodek Sportu i Rekreacji w Radomsku"",""2021"","""",""https://www.instagram.com/aquara_radomsko/""
""mops-radomsko.pl"",""Strona internetowa"",""Miejski Ośrodek Pomocy Społecznej w Radomsku"",""2007"","""",""https://www.mops-radomsko.pl/""
""Facebook profile - 100064553777362"",""Media społecznościowe"",""Miejski Ośrodek Pomocy Społecznej w Radomsku"",""2014"","""",""https://www.facebook.com/profile.php?id=100064553777362"""
2061,87305,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2310,OSTROWIEC ŚWIĘTOKRZYSKI,samorząd gminy,świętokrzyskie,ostrowiecki,FAŁSZ,"""tytul"",""typ"",""prowadzacy"",""data_od"",""data_do"",""linki""
""Miasto Ostrowiec Świętokrzyski"",""Fanpage na portalu Facebook"",""Urząd Miasta Ostrowca Świętokrzyskiego"",""13.01.2011 r."","""",""https://www.facebook.com/ostrowiecswietokrzyski.um""
""Artur Łakomiec Prezydent Miasta Ostrowca Świętokrzyskiego"",""Fanpage na portalu Facebook"",""Urząd Miasta Ostrowca Świętokrzyskiego"",""17.07.2023 r."","""",""https://www.facebook.com/lakomiec.artur""
""Artur Łakomiec Prezydent Miasta Ostrowca Swiętokrzyskiego"",""Profil na portalu INSTAGRAM"",""Urząd Miasta Ostrowca Świętokrzyskiego"",""22.11.2023 r."","""",""https://www.instagram.com/artur.lakomiec/"""
2062,86220,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1225,OŚWIĘCIM,samorząd gminy,małopolskie,oświęcimski,PRAWDA,"""Wieści z Ratusza"",""telewizja"",""Urząd Miasta Oświęcim"",""2012"","""",""https://oswiecim.pl/wiesci-z-ratusza/""
""Głos Ziemi Oświęcimskiej"",""gazeta"",""Oświęcimskie Centrum Kultury"",""1991"","""",""https://ock.org.pl/glos-ziemi-oswiecimskiej/"""
2074,85699,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-704,KAZIMIERZ DOLNY,samorząd gminy,lubelskie,puławski,FAŁSZ,
2257,85868,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-873,GOZDNICA,samorząd gminy,lubuskie,żagański,FAŁSZ,
2355,85909,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-914,STARE KUROWO,samorząd gminy,lubuskie,strzelecko-drezdenecki,FAŁSZ,
2412,86607,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1612,ŻYRARDÓW,samorząd gminy,mazowieckie,żyrardowski,PRAWDA,"""tytul"",""typ"",""prowadzacy"",""data_od"",""data_do"",""linki""
""Radio Fama Żyrardów"",""radio"",""Centrum Kultury w Żyrardowie"",""30.08.2021"","""",""https://radiofama.com.pl/""
""TVŻ HD"",""telewizja"",""Centrum Kultury w Żyrardowie"",""11.09.2015"","""",""https://www.facebook.com/TelewizjaZyrardowska"""
2413,86711,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1716,DYNÓW,samorząd gminy,podkarpackie,rzeszowski,PRAWDA,"""Dynowski Kwartalnik Samorządowy"",""biuletyn informacyjny"",""Gmina Miejska Dynów"",""od kwietnia 2017 roku"",""jest prowadzone nadal"",""www.bip.dynow.pl zakładka: Dynowski Kwartalnik Samorządowy"""
2416,86971,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1976,CZERSK,samorząd gminy,pomorskie,chojnicki,PRAWDA,"""Panorama Czerska"",""biuletyn informacyjny"",""Urząd Miejski w Czersku"",""2001"","""",""https://czersk.pl/publikacje"""
2432,87407,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2412,LUBAWA,samorząd gminy,warmińsko-mazurskie,iławski,PRAWDA,"""SamorzÄ…dowa Lubawa"",""gazeta"",""Miejski OÅ›rodek Kultury w Lubawie"",""listopada 2020 r."",""nadal"","""""
